city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Tainan,278,3.3,4.0,3.0,1753.0,17.0,4.0,61.0,5.0,3.0,4.0,2048.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,22.9912348,120.184982, 臺灣
Newcastle Upon Tyne,279,3.3,4.0,4.0,3817.0,23.0,3.0,32.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,54.9738474,-1.6131572, United Kingdom
Halifax,280,3.3,4.0,4.0,2886.0,25.0,3.0,24.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,44.648618,-63.5859487, Canada
Raipur,281,3.3,3.0,2.0,715.0,10.0,4.0,315.0,4.0,3.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,21.2379469,81.6336833, India
Zurich,282,3.3,4.0,4.0,5345.0,29.0,4.0,2.0,5.0,3.0,4.0,6634.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,47.3744489,8.5410422, Schweiz/Suisse/Svizzera/Svizra
Amarillo TX,283,3.3,3.0,3.0,2487.0,55.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,35.2072185,-101.8338246, United States
Mysore,284,3.3,3.0,3.0,811.0,10.0,3.0,26.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,2.0,3.0,12.3051828,76.6553609, India
Kokomo IN,285,3.3,3.0,3.0,2469.0,48.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,40.4864444,-86.1336351, United States
Lyon,286,3.3,4.0,3.0,3188.0,25.0,4.0,17.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,45.7578137,4.8320114, France
Fort Wayne IN,287,3.3,3.0,3.0,2646.0,39.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,41.0799898,-85.1386015, United States
Albany OR,290,3.3,4.0,3.0,2877.0,61.0,3.0,16.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,44.6365071,-123.1059324, United States
Montego Bay,291,3.3,3.0,3.0,2297.0,15.0,4.0,16.0,1.0,5.0,3.0,407.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,18.4724603,-77.9217357, Jamaica
Jimbaran Bali,292,3.3,3.0,3.0,606.0,12.0,4.0,16.0,5.0,4.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,-8.7724902,115.1723944, Indonesia
Banja Luka,293,3.3,3.0,3.0,1244.0,10.0,2.0,5.0,4.0,4.0,3.0,401.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,44.7720845,17.1917651, Bosna i Hercegovina / Босна и Херцеговина
Muncie IN,294,3.3,3.0,3.0,2632.0,43.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,40.1936892,-85.3865271, United States
Krasnodar,295,3.3,3.0,2.0,1215.0,18.0,2.0,33.0,2.0,2.0,4.0,721.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,45.7684014,39.0261044, Россия
Phnom Penh,296,3.3,3.0,2.0,1049.0,7.0,3.0,37.0,4.0,2.0,2.0,106.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,11.568271,104.9224426, ព្រះរាជាណាចក្រ​កម្ពុជា
Cedar Rapids IA,297,3.3,3.0,3.0,2733.0,42.0,3.0,31.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,41.9758872,-91.6704053, United States
Edinburg TX,298,3.3,4.0,3.0,2831.0,38.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,26.3013982,-98.1624501, United States
Vijayawada,299,3.3,3.0,2.0,983.0,14.0,2.0,61.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,16.5087586,80.6185102, India
