,rank,city,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long
315,324,Lake Balaton,3.3,3.0,3.0,1539.0,64.0,4.0,25.0,4.0,3.0,4.0,1075.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,46.8836527,17.846663499449168
316,325,Jonesboro AR,3.3,3.0,3.0,2811.0,36.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,3.0,35.8428646,-90.7034522
317,326,Port Arthur TX,3.3,4.0,3.0,2885.0,59.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,29.8988618,-93.9288723
318,327,Great Falls MT,3.3,4.0,4.0,2900.0,38.0,3.0,27.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,47.5048851,-111.29189
319,328,Iowa City IA,3.3,3.0,3.0,3034.0,35.0,3.0,31.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,41.6612561,-91.5299106
320,329,Nice,3.3,4.0,3.0,3192.0,27.0,5.0,40.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,43.7009358,7.2683912
321,330,Des Moines IA,3.3,4.0,3.0,3007.0,34.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,41.5910323,-93.6046655
322,331,Lubbock TX,3.3,4.0,3.0,2870.0,50.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,33.5635206,-101.879336
323,332,Surabaya,3.3,3.0,2.0,814.0,8.0,2.0,26.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,-7.2459717,112.7378266
324,333,Gwalior,3.3,3.0,2.0,1086.0,8.0,3.0,364.0,4.0,2.0,2.0,142.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,26.2037247,78.1573628
325,334,Manchester,3.3,4.0,4.0,3155.0,26.0,4.0,33.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,53.4794892,-2.2451148
326,335,Fredericton,3.3,4.0,4.0,2703.0,25.0,2.0,18.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,45.94780155,-66.65347069241668
327,336,Livingstone,3.3,3.0,3.0,1512.0,3.0,3.0,18.0,3.0,3.0,3.0,106.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-22.721137849999998,150.24127629909626
328,337,El Jadida,3.3,3.0,2.0,1542.0,8.0,3.0,18.0,4.0,2.0,2.0,245.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,33.2336952,-8.500424800741666
329,338,Salvador,3.3,3.0,3.0,1095.0,12.0,3.0,18.0,1.0,3.0,3.0,721.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,13.8000382,-88.9140683
330,339,Madurai,3.3,3.0,3.0,1025.0,9.0,3.0,133.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,9.9261153,78.1140983
331,340,Bogota,3.2,3.0,2.0,993.0,8.0,3.0,141.0,1.0,2.0,3.0,484.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,4.6533326,-74.083652
332,341,Nakhon Ratchasima,3.2,3.0,3.0,1133.0,82.0,3.0,69.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,15.2241917,101.9313754
333,342,Rochester MN,3.2,4.0,3.0,3102.0,39.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,44.0234387,-92.4630182
334,343,Hagen,3.2,4.0,3.0,2424.0,36.0,3.0,25.0,5.0,3.0,4.0,3538.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,51.3582945,7.473296
335,344,Pattaya,3.2,4.0,3.0,1288.0,19.0,4.0,48.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,12.9366674,100.8864587
336,345,Amed Bali,3.2,3.0,3.0,986.0,9.0,4.0,48.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,-8.334584,115.6409359
337,346,Bowling Green KY,3.2,3.0,3.0,2910.0,60.0,3.0,38.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,36.9903199,-86.4436018
338,347,Malang,3.2,3.0,2.0,924.0,8.0,3.0,38.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.9771206,112.6340291
339,348,Tangier,3.2,3.0,2.0,1774.0,8.0,3.0,38.0,4.0,3.0,2.0,245.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,35.777103,-5.803792
340,349,Port of Spain,3.2,3.0,3.0,1275.0,15.0,4.0,38.0,1.0,3.0,3.0,1471.0,3.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,10.6572678,-61.5180173
341,350,Warner Robins GA,3.2,4.0,3.0,2835.0,38.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,32.6200973,-83.606568
342,351,Ko Lanta,3.2,4.0,3.0,1371.0,19.0,4.0,36.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,7.55984195,99.05728875374527
343,352,Macon GA,3.2,3.0,3.0,2758.0,34.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,32.8406946,-83.6324022
344,353,Krasnoyarsk,3.2,3.0,2.0,1692.0,18.0,4.0,31.0,2.0,2.0,4.0,721.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,63.3233807,97.0979974
345,354,Dayton OH,3.2,3.0,3.0,3131.0,44.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,39.7589478,-84.1916069
346,355,Matara,3.2,3.0,2.0,570.0,9.0,4.0,31.0,4.0,2.0,4.0,326.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,9.9261153,78.1140983
347,356,Columbus GA,3.3,4.0,3.0,3173.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,43.1841333,-79.8162397
348,358,Bismarck ND,3.2,3.0,3.0,2845.0,39.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,46.808327,-100.783739
349,359,Sacramento CA,3.2,4.0,4.0,3390.0,56.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,38.5810606,-121.493895
350,360,Lexington KY,3.2,3.0,3.0,2826.0,37.0,3.0,41.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,38.0464066,-84.4970393
351,361,Killeen TX,3.2,3.0,3.0,2971.0,58.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,31.1171441,-97.727796
352,362,Fort Smith AR,3.2,3.0,3.0,2770.0,33.0,3.0,29.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,35.3872218,-94.4248983
353,363,Memphis TN,3.2,3.0,3.0,3057.0,36.0,2.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,35.1490215,-90.0516285
354,364,Moncton,3.2,4.0,4.0,2981.0,25.0,3.0,17.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,46.097995,-64.80011
355,365,Minot ND,3.2,3.0,3.0,2867.0,31.0,3.0,18.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,48.23251,-101.296273
356,366,Surakarta,3.2,3.0,2.0,680.0,6.0,2.0,18.0,5.0,4.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.5692462,110.828448
357,367,Provo UT,3.2,4.0,3.0,3199.0,79.0,2.0,53.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,40.2338438,-111.6585337
358,368,Quebec City,3.2,4.0,3.0,2255.0,25.0,3.0,24.0,4.0,5.0,4.0,3513.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,46.8137431,-71.2084061
359,369,Harlingen TX,3.2,4.0,3.0,3007.0,55.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,26.1908241,-97.6959794
360,370,Youngstown OH,3.2,3.0,3.0,2796.0,36.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,41.1035786,-80.6520161
361,371,Sioux Falls SD,3.2,3.0,3.0,2901.0,44.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,43.5460587,-96.7313928
362,372,Pharr TX,3.2,4.0,3.0,2959.0,48.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,26.1947962,-98.1836216
363,373,Palermo,3.2,3.0,3.0,2440.0,29.0,3.0,36.0,5.0,3.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,38.1112268,13.3524434
364,374,Kharkiv,3.2,3.0,2.0,967.0,29.0,2.0,36.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,49.9923181,36.2310146
365,375,Hubli,3.2,3.0,2.0,903.0,9.0,3.0,74.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,15.3518378,75.1379848
366,376,Lancaster CA,3.2,4.0,4.0,2961.0,58.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,34.6981064,-118.1366153
367,377,Knoxville TN,3.2,3.0,3.0,2847.0,63.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,35.9603948,-83.9210261
368,378,Ivano-Frankivsk,3.2,3.0,2.0,874.0,26.0,2.0,32.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,48.7481718,24.5207477
369,379,Port Louis,3.2,3.0,3.0,1920.0,5.0,4.0,83.0,4.0,2.0,3.0,807.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,-20.1637281,57.5045331
370,380,Conway AR,3.2,3.0,3.0,2726.0,36.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,35.2521996,-92.6888936
371,381,Fargo ND,3.2,3.0,3.0,2986.0,53.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,46.877229,-96.789821
372,382,Arequipa,3.2,3.0,3.0,854.0,9.0,3.0,24.0,3.0,3.0,3.0,504.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,-16.3988667,-71.5369607
373,383,Gili Air,3.2,3.0,2.0,976.0,9.0,2.0,24.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-8.35760475,116.08115279184318
374,384,Cozumel,3.2,3.0,3.0,1418.0,13.0,4.0,24.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,20.4317585,-86.92027456597663
375,385,Leicester,3.2,4.0,3.0,3035.0,26.0,5.0,37.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,52.6361398,-1.1330789
376,386,La Serena,3.2,3.0,3.0,1496.0,14.0,5.0,52.0,4.0,3.0,4.0,1150.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,-29.902631,-71.2520253
377,388,Sarajevo,3.2,4.0,3.0,1271.0,14.0,2.0,61.0,4.0,3.0,3.0,401.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,43.8519774,18.3866868
378,389,Medford OR,3.2,3.0,3.0,2912.0,59.0,3.0,29.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,42.3264181,-122.8718605
379,390,Bari,3.2,4.0,3.0,2247.0,19.0,3.0,79.0,5.0,2.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,41.1257843,16.8620293
380,391,Denpasar Bali,3.2,3.0,2.0,665.0,9.0,2.0,79.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,-8.6524973,115.2191175
381,392,Chico CA,3.2,3.0,3.0,2645.0,99.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,39.7284945,-121.8374777
382,393,Jacksonville FL,3.2,4.0,3.0,2935.0,37.0,4.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,30.3321838,-81.655651
383,394,Cork,3.2,4.0,4.0,3458.0,22.0,4.0,33.0,5.0,5.0,4.0,5375.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,51.897077,-8.4654674
384,395,Augusta GA,3.2,4.0,3.0,3127.0,54.0,3.0,23.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,33.4709714,-81.9748429
385,396,Valdosta GA,3.2,4.0,3.0,2598.0,78.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,30.8327022,-83.2784851
386,397,Norfolk VA,3.2,4.0,3.0,3009.0,38.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,36.8968052,-76.2602336
387,398,Chattanooga TN,3.2,4.0,3.0,3217.0,70.0,2.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,35.0457219,-85.3094883
388,399,Kearney NE,3.2,4.0,3.0,2980.0,42.0,3.0,39.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,40.4906216,-98.9472344
389,400,Las Cruces NM,3.2,4.0,3.0,3152.0,39.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,32.3140354,-106.7798078
390,401,Syracuse NY,3.2,3.0,3.0,3008.0,37.0,3.0,22.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,43.0481221,-76.1474244
391,402,Nagpur,3.2,3.0,3.0,781.0,9.0,4.0,175.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,21.1498134,79.0820556
392,403,Ipoh,3.2,3.0,2.0,1137.0,16.0,3.0,61.0,4.0,2.0,3.0,792.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.5986817,101.0900236
393,404,Podgorica,3.2,3.0,3.0,1520.0,24.0,3.0,98.0,4.0,2.0,4.0,580.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,42.4415238,19.2621081
394,405,Albuquerque NM,3.2,4.0,3.0,3369.0,39.0,4.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,35.0841034,-106.650985
395,406,Palembang Sumatra,3.2,3.0,2.0,799.0,9.0,3.0,26.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-2.9888297,104.756857
396,407,Ocala FL,3.2,3.0,3.0,3012.0,46.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,29.1871986,-82.1400923
397,408,Lansing MI,3.2,3.0,3.0,2893.0,46.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,42.7337712,-84.5553805
398,409,Campinas,3.2,3.0,3.0,965.0,13.0,3.0,66.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-22.90556,-47.06083
399,410,Birmingham,3.2,4.0,4.0,3567.0,26.0,4.0,31.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,52.4796992,-1.9026911
400,411,Waco TX,3.2,3.0,3.0,3098.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,31.5520981,-97.114845
401,412,Genoa,3.2,4.0,3.0,2590.0,18.0,4.0,46.0,5.0,2.0,4.0,2607.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,44.40726,8.9338624
402,413,Semarang,3.2,3.0,2.0,751.0,9.0,2.0,46.0,5.0,4.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-6.9903988,110.4229104
403,414,Charlotte NC,3.2,4.0,4.0,3168.0,39.0,3.0,21.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,35.2272086,-80.8430827
404,415,Osaka,3.2,4.0,3.0,2213.0,26.0,3.0,43.0,5.0,2.0,4.0,3220.0,2.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,34.6198813,135.490357
405,416,Ushuaia,3.2,3.0,3.0,1639.0,12.0,4.0,43.0,3.0,3.0,4.0,1037.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,-54.806115899999995,-68.3184972880496
406,417,Cirebon,3.2,3.0,2.0,679.0,9.0,3.0,43.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-6.7137044,108.5608483
407,418,Recife,3.2,3.0,2.0,1001.0,13.0,5.0,43.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-8.0584933,-34.8848193
408,419,Hobart,3.2,4.0,3.0,3326.0,20.0,3.0,11.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,-42.8825088,147.3281233
409,420,Milwaukee WI,3.2,4.0,3.0,3385.0,50.0,4.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,43.0349931,-87.922497
410,421,Goiania,3.2,3.0,3.0,814.0,11.0,2.0,24.0,1.0,4.0,3.0,721.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,-16.680882,-49.2532691
411,422,Palma Mallorca,3.2,4.0,3.0,3776.0,30.0,5.0,30.0,5.0,2.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,-2.1234818,-79.86252098553652
412,423,Utrecht,3.2,4.0,4.0,3697.0,40.0,4.0,32.0,5.0,4.0,4.0,3813.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,52.080985600000005,5.12768396945229
413,424,Hue,3.2,3.0,2.0,1014.0,13.0,3.0,32.0,4.0,3.0,2.0,181.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,16.4638013,107.5821911
414,425,Yogyakarta,3.2,3.0,2.0,776.0,9.0,2.0,32.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.9778383999999996,110.36722565020224
415,426,Agadir,3.2,3.0,2.0,1264.0,8.0,3.0,32.0,4.0,2.0,2.0,245.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,30.4211144,-9.5830626
416,427,Luanda,3.2,3.0,2.0,1560.0,4.0,4.0,32.0,3.0,2.0,2.0,309.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,-8.8272699,13.2439512
417,428,Pekanbaru Sumatra,3.2,3.0,2.0,759.0,10.0,3.0,35.0,5.0,4.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-0.7746488,100.3245176
418,430,Belem,3.2,3.0,2.0,1106.0,11.0,4.0,35.0,1.0,4.0,3.0,721.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,2.0,31.7043556,35.2061876
419,431,Davenport IA,3.2,3.0,3.0,2926.0,34.0,3.0,30.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,41.5236436,-90.5776368
420,432,Casablanca,3.2,3.0,2.0,1768.0,7.0,4.0,154.0,4.0,2.0,2.0,245.0,2.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,33.5950627,-7.6187768
421,433,Bandung,3.2,3.0,2.0,740.0,9.0,3.0,153.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-6.9344694,107.6049539
422,434,Gainesville FL,3.2,3.0,3.0,3250.0,54.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,29.6519684,-82.3249846
423,435,Yuma AZ,3.2,4.0,3.0,2870.0,47.0,3.0,31.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,32.665135,-114.47603157249804
424,436,Bocas del Toro,3.2,3.0,3.0,1889.0,10.0,5.0,31.0,2.0,4.0,3.0,1140.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,9.3040623,-82.12848154978464
425,437,Pasco WA,3.2,4.0,4.0,3191.0,40.0,3.0,19.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,46.2306739,-119.0921006
426,438,Bedford OH,3.2,4.0,3.0,3315.0,51.0,3.0,32.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,41.39311,-81.536509
427,439,Rochester NY,3.2,4.0,3.0,3102.0,39.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,43.157285,-77.615214
428,440,Natal,3.2,3.0,3.0,751.0,13.0,4.0,25.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,2.0,-5.805398,-35.2080905
