city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country,continent
Recife,418,3.2,3.0,2.0,1001.0,13.0,5.0,43.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-8.0584933,-34.8848193, Brazil,south_america
Hobart,419,3.2,4.0,3.0,3326.0,20.0,3.0,11.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,-42.8825088,147.3281233, Australia,oceania
Milwaukee WI,420,3.2,4.0,3.0,3385.0,50.0,4.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,43.0349931,-87.922497, United States,north_america
Goiania,421,3.2,3.0,3.0,814.0,11.0,2.0,24.0,1.0,4.0,3.0,721.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,-16.680882,-49.2532691, Brazil,south_america
Palma Mallorca,422,3.2,4.0,3.0,3776.0,30.0,5.0,30.0,5.0,2.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,-2.1234818,-79.86252098553652, Ecuador,south_america
Utrecht,423,3.2,4.0,4.0,3697.0,40.0,4.0,32.0,5.0,4.0,4.0,3813.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,52.080985600000005,5.12768396945229, Netherlands,europe
Hue,424,3.2,3.0,2.0,1014.0,13.0,3.0,32.0,4.0,3.0,2.0,181.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,16.4638013,107.5821911, Vietnam,asia
Yogyakarta,425,3.2,3.0,2.0,776.0,9.0,2.0,32.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.977838399999999,110.36722565020224, Indonesia,asia
Agadir,426,3.2,3.0,2.0,1264.0,8.0,3.0,32.0,4.0,2.0,2.0,245.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,30.4211144,-9.5830626, Morocco,africa
Luanda,427,3.2,3.0,2.0,1560.0,4.0,4.0,32.0,3.0,2.0,2.0,309.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,-8.8272699,13.2439512, Angola,africa
Pekanbaru Sumatra,428,3.2,3.0,2.0,759.0,10.0,3.0,35.0,5.0,4.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-0.7746488,100.3245176, Indonesia,asia
Belem,430,3.2,3.0,2.0,1106.0,11.0,4.0,35.0,1.0,4.0,3.0,721.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,2.0,31.7043556,35.2061876, Palestinian Territory,Check_continent
Davenport IA,431,3.2,3.0,3.0,2926.0,34.0,3.0,30.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,41.5236436,-90.5776368, United States,north_america
Casablanca,432,3.2,3.0,2.0,1768.0,7.0,4.0,154.0,4.0,2.0,2.0,245.0,2.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,33.5950627,-7.6187768, Morocco,africa
Bandung,433,3.2,3.0,2.0,740.0,9.0,3.0,153.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-6.9344694,107.6049539, Indonesia,asia
Gainesville FL,434,3.2,3.0,3.0,3250.0,54.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,29.6519684,-82.3249846, United States,north_america
Yuma AZ,435,3.2,4.0,3.0,2870.0,47.0,3.0,31.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,32.665135,-114.47603157249804, United States,north_america
Bocas del Toro,436,3.2,3.0,3.0,1889.0,10.0,5.0,31.0,2.0,4.0,3.0,1140.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,9.3040623,-82.12848154978464, Panama,north_america
Pasco WA,437,3.2,4.0,4.0,3191.0,40.0,3.0,19.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,46.2306739,-119.0921006, United States,north_america
Bedford OH,438,3.2,4.0,3.0,3315.0,51.0,3.0,32.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,41.39311,-81.536509, United States,north_america
Rochester NY,439,3.2,4.0,3.0,3102.0,39.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,43.157285,-77.615214, United States,north_america
Natal,440,3.2,3.0,3.0,751.0,13.0,4.0,25.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,2.0,-5.805398,-35.2080905, Brazil,south_america
Tyler TX,441,3.2,4.0,3.0,2905.0,79.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,32.3512601,-95.3010624, United States,north_america
Corpus Christi TX,442,3.2,4.0,3.0,3165.0,53.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,27.7951482,-97.3942053, United States,north_america
Asheville NC,443,3.2,4.0,4.0,3414.0,43.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,35.6009498,-82.5540161, United States,north_america
Dothan AL,444,3.2,3.0,3.0,2887.0,36.0,3.0,33.0,4.0,3.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,31.2237434,-85.3933906, United States,north_america
Mataram Lombok,445,3.2,3.0,2.0,837.0,9.0,2.0,33.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-8.5837726,116.10685, Indonesia,asia
Wichita KS,446,3.2,3.0,3.0,2975.0,46.0,3.0,61.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,37.6922361,-97.3375448, United States,north_america
Guelph,447,3.2,4.0,3.0,3057.0,23.0,3.0,26.0,4.0,3.0,4.0,3513.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,43.5460516,-80.2493276, Canada,north_america
Spokane WA,448,3.2,3.0,3.0,3072.0,48.0,3.0,15.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,47.6571934,-117.4235106, United States,north_america
Durban,449,3.2,3.0,3.0,2039.0,12.0,3.0,51.0,1.0,3.0,3.0,425.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,-29.861825,31.009909, South Africa,africa
